group_type,model,dataset,lambda_label,group_value,n_steps,prediction_diff_rate_vs_lambda1,answer_change_rate,avg_final_logprob_delta_vs_lambda1,avg_logprob_change_delta_vs_lambda1,avg_specificity_drift_delta_vs_lambda1,avg_target_new_cot_overlap_delta_vs_lambda1
phase,LLaMA-3-3B,openbook,0.0,early,79,0,0.379746835443038,-1.4113924050632911,-1.4113924050632911,0.189873417721519,-0.029522784810126584
phase,LLaMA-3-3B,openbook,0.0,late,90,0,0.24444444444444444,-0.5083333333333333,-0.5083333333333333,0.13333333333333333,-0.013775555555555557
phase,LLaMA-3-3B,openbook,0.0,middle,63,0,0.30158730158730157,-0.6785714285714286,-0.6785714285714286,0.1746031746031746,-0.01353015873015873
phase,LLaMA-3-3B,openbook,0.1,early,79,0.012658227848101266,0.3924050632911392,-1.2341772151898733,-1.2341772151898733,0.189873417721519,-0.02589873417721519
phase,LLaMA-3-3B,openbook,0.1,late,90,0.011111111111111112,0.24444444444444444,-0.48333333333333334,-0.48333333333333334,0.044444444444444446,-0.012306666666666667
phase,LLaMA-3-3B,openbook,0.1,middle,63,0,0.30158730158730157,-0.6587301587301587,-0.6587301587301587,0.19047619047619047,-0.009980952380952382
phase,LLaMA-3-3B,openbook,0.3,early,79,0.012658227848101266,0.3924050632911392,-1.018987341772152,-1.018987341772152,0.189873417721519,-0.02350759493670886
phase,LLaMA-3-3B,openbook,0.3,late,90,0,0.24444444444444444,-0.41388888888888886,-0.41388888888888886,0.03333333333333333,-0.003080000000000002
phase,LLaMA-3-3B,openbook,0.3,middle,63,0,0.30158730158730157,-0.44841269841269843,-0.44841269841269843,0.19047619047619047,0.004514285714285715
phase,LLaMA-3-3B,openbook,1.0,early,79,0,0.379746835443038,0.0,0.0,0,0.0
phase,LLaMA-3-3B,openbook,1.0,late,90,0,0.24444444444444444,0.0,0.0,0,0.0
phase,LLaMA-3-3B,openbook,1.0,middle,63,0,0.30158730158730157,0.0,0.0,0,0.0
phase,LLaMA-3-3B,openbook,10.0,early,79,0.02531645569620253,0.3670886075949367,7.151898734177215,7.151898734177215,-0.3291139240506329,-0.0063999999999999994
phase,LLaMA-3-3B,openbook,10.0,late,90,0.03333333333333333,0.23333333333333334,3.3833333333333333,3.3833333333333333,-0.16666666666666666,0.007714444444444445
phase,LLaMA-3-3B,openbook,10.0,middle,63,0.047619047619047616,0.31746031746031744,5.416666666666667,5.416666666666667,-0.14285714285714285,0.0346031746031746
phase,LLaMA-3-3B,openbook,3.0,early,79,0.012658227848101266,0.3670886075949367,2.278481012658228,2.278481012658228,-0.12658227848101267,-0.008084810126582279
phase,LLaMA-3-3B,openbook,3.0,late,90,0.022222222222222223,0.24444444444444444,0.8277777777777777,0.8277777777777777,-0.044444444444444446,-0.006953333333333334
phase,LLaMA-3-3B,openbook,3.0,middle,63,0.015873015873015872,0.2857142857142857,1.5714285714285714,1.5714285714285714,-0.07936507936507936,0.016501587301587302
phase,LLaMA-3-3B,sqa,0.0,early,58,0.05172413793103448,0.22413793103448276,-0.5258620689655172,-0.5258620689655172,0.05172413793103448,0.004715517241379312
phase,LLaMA-3-3B,sqa,0.0,late,86,0.011627906976744186,0.313953488372093,-0.24709302325581395,-0.24709302325581395,0,-0.0022883720930232552
phase,LLaMA-3-3B,sqa,0.0,middle,66,0,0.25757575757575757,-0.6818181818181818,-0.6818181818181818,0,0.017277272727272728
phase,LLaMA-3-3B,sqa,0.1,early,58,0.034482758620689655,0.20689655172413793,-0.3793103448275862,-0.3793103448275862,0.08620689655172414,0.004624137931034484
phase,LLaMA-3-3B,sqa,0.1,late,86,0,0.3023255813953488,-0.25290697674418605,-0.25290697674418605,0,-0.0002523255813953487
phase,LLaMA-3-3B,sqa,0.1,middle,66,0.015151515151515152,0.2727272727272727,-0.4090909090909091,-0.4090909090909091,0.045454545454545456,-0.003968181818181818
phase,LLaMA-3-3B,sqa,0.3,early,58,0.034482758620689655,0.20689655172413793,-0.27586206896551724,-0.27586206896551724,0.017241379310344827,0.02408793103448276
phase,LLaMA-3-3B,sqa,0.3,late,86,0.011627906976744186,0.313953488372093,-0.18895348837209303,-0.18895348837209303,-0.011627906976744186,-0.006802325581395348
phase,LLaMA-3-3B,sqa,0.3,middle,66,0,0.25757575757575757,-0.4166666666666667,-0.4166666666666667,-0.06060606060606061,0.010440909090909091
phase,LLaMA-3-3B,sqa,1.0,early,58,0,0.20689655172413793,0.0,0.0,0,0.0
phase,LLaMA-3-3B,sqa,1.0,late,86,0,0.3023255813953488,0.0,0.0,0,0.0
phase,LLaMA-3-3B,sqa,1.0,middle,66,0,0.25757575757575757,0.0,0.0,0,0.0
phase,LLaMA-3-3B,sqa,10.0,early,58,0.06896551724137931,0.1724137931034483,5.258620689655173,5.258620689655173,0.15517241379310345,0.0028120689655172417
phase,LLaMA-3-3B,sqa,10.0,late,86,0,0.3023255813953488,4.017441860465116,4.017441860465116,0.023255813953488372,-0.021969767441860466
phase,LLaMA-3-3B,sqa,10.0,middle,66,0.015151515151515152,0.24242424242424243,5.234848484848484,5.234848484848484,-0.015151515151515152,-0.013615151515151514
phase,LLaMA-3-3B,sqa,3.0,early,58,0.017241379310344827,0.1896551724137931,1.3793103448275863,1.3793103448275863,0.034482758620689655,0.014906896551724138
phase,LLaMA-3-3B,sqa,3.0,late,86,0,0.3023255813953488,0.9534883720930233,0.9534883720930233,0.011627906976744186,0.0030744186046511622
phase,LLaMA-3-3B,sqa,3.0,middle,66,0,0.25757575757575757,1.356060606060606,1.356060606060606,-0.045454545454545456,0.009528787878787878
phase,Phi-3,openbook,0.0,early,46,0,0.10869565217391304,-8.244565217391305,-8.244565217391305,0.10869565217391304,7.826086956521692e-05
phase,Phi-3,openbook,0.0,late,73,0.0410958904109589,0.1917808219178082,-8.215753424657533,-8.215753424657533,0.1095890410958904,0.004698630136986302
phase,Phi-3,openbook,0.0,middle,52,0,0.17307692307692307,-9.298076923076923,-9.298076923076923,0.09615384615384616,0.019575
phase,Phi-3,openbook,0.0,single,1,0,1,-1.5,-1.5,0,-0.1429
phase,Phi-3,openbook,0.1,early,46,0,0.10869565217391304,-5.429347826086956,-5.429347826086956,0.021739130434782608,0.0018869565217391308
phase,Phi-3,openbook,0.1,late,73,0.0273972602739726,0.1780821917808219,-5.671232876712328,-5.671232876712328,0.0684931506849315,-0.0008178082191780823
phase,Phi-3,openbook,0.1,middle,52,0,0.17307692307692307,-6.471153846153846,-6.471153846153846,0.11538461538461539,-0.012738461538461539
