lambda_label,model,dataset,faithfulness,efficacy,specificity,answer_change_rate,delta_faithfulness,delta_efficacy,delta_specificity,delta_answer_change_rate,average_mass_shift,max_mass_shift,n_instances,n_cot_steps,agreeing_instances,changed_instances,filename,path
0.0,LLaMA-3-3B,openbook,62.5,82.34584044741462,89.25862068965517,28.426395939086298,0.0,0.030832951560540778,-1.0431034482758577,0.0,0.1277847407181583,0.16501776908509086,40,232,197,56,npo_KL_sentencize_s=True_lr=3e-05_lambda=0.0_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=0.0/openbook/LLaMA-3-3B/npo_KL_sentencize_s=True_lr=3e-05_lambda=0.0_rs=1001_pos=True_ff2=True.out
0.1,LLaMA-3-3B,openbook,65.0,82.31824928263167,89.20689655172414,28.934010152284262,2.5,0.0032417867775933473,-1.0948275862068897,0.5076142131979644,0.12778352912378366,0.166068331371682,40,232,197,57,npo_KL_sentencize_s=True_lr=3e-05_lambda=0.1_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=0.1/openbook/LLaMA-3-3B/npo_KL_sentencize_s=True_lr=3e-05_lambda=0.1_rs=1001_pos=True_ff2=True.out
0.3,LLaMA-3-3B,openbook,65.0,82.32033418126815,89.59482758620689,28.934010152284262,2.5,0.005326685414075882,-0.7068965517241423,0.5076142131979644,0.1278583851436304,0.16533961335638866,40,232,197,57,npo_KL_sentencize_s=True_lr=3e-05_lambda=0.3_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=0.3/openbook/LLaMA-3-3B/npo_KL_sentencize_s=True_lr=3e-05_lambda=0.3_rs=1001_pos=True_ff2=True.out
1.0,LLaMA-3-3B,openbook,62.5,82.31500749585408,90.30172413793103,28.426395939086298,0.0,0.0,0.0,0.0,0.1276739652164067,0.16386689944530666,40,232,197,56,npo_KL_sentencize_s=True_lr=3e-05_lambda=1.0_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=1.0/openbook/LLaMA-3-3B/npo_KL_sentencize_s=True_lr=3e-05_lambda=1.0_rs=1001_pos=True_ff2=True.out
3.0,LLaMA-3-3B,openbook,62.5,82.30388548804561,91.0603448275862,28.426395939086298,0.0,-0.01112200780846706,0.7586206896551744,0.0,0.12669326047662277,0.16112618422845004,40,232,197,56,npo_KL_sentencize_s=True_lr=3e-05_lambda=3.0_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=3.0/openbook/LLaMA-3-3B/npo_KL_sentencize_s=True_lr=3e-05_lambda=3.0_rs=1001_pos=True_ff2=True.out
10.0,LLaMA-3-3B,openbook,60.0,82.19938318944018,91.9396551724138,26.903553299492383,-2.5,-0.11562430641389199,1.6379310344827616,-1.5228426395939145,0.12542449992754373,0.1557800605282739,40,232,197,53,npo_KL_sentencize_s=True_lr=3e-05_lambda=10.0_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=10.0/openbook/LLaMA-3-3B/npo_KL_sentencize_s=True_lr=3e-05_lambda=10.0_rs=1001_pos=True_ff2=True.out
0.0,LLaMA-3-3B,sqa,67.5,82.91137835976966,92.14285714285714,31.67701863354037,0.0,-0.0012169757303865936,-0.142857142857153,0.621118012422361,0.1222163209848022,0.1571078519997224,40,210,161,51,npo_KL_sentencize_s=True_lr=3e-05_lambda=0.0_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=0.0/sqa/LLaMA-3-3B/npo_KL_sentencize_s=True_lr=3e-05_lambda=0.0_rs=1001_pos=True_ff2=True.out
0.1,LLaMA-3-3B,sqa,67.5,82.91312224885803,92.22857142857143,32.298136645962735,0.0,0.0005269133579872687,-0.057142857142864045,1.2422360248447255,0.12235434360504202,0.15664705178537142,40,210,161,52,npo_KL_sentencize_s=True_lr=3e-05_lambda=0.1_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=0.1/sqa/LLaMA-3-3B/npo_KL_sentencize_s=True_lr=3e-05_lambda=0.1_rs=1001_pos=True_ff2=True.out
0.3,LLaMA-3-3B,sqa,67.5,82.9121756915226,92.17142857142858,31.67701863354037,0.0,-0.0004196439774375449,-0.11428571428571388,0.621118012422361,0.12091448693485195,0.15472021445086206,40,210,161,51,npo_KL_sentencize_s=True_lr=3e-05_lambda=0.3_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=0.3/sqa/LLaMA-3-3B/npo_KL_sentencize_s=True_lr=3e-05_lambda=0.3_rs=1001_pos=True_ff2=True.out
1.0,LLaMA-3-3B,sqa,67.5,82.91259533550004,92.28571428571429,31.05590062111801,0.0,0.0,0.0,0.0,0.11950860635184275,0.15395121853888571,40,210,161,50,npo_KL_sentencize_s=True_lr=3e-05_lambda=1.0_rs=1001_pos=True_ff2=True.out,lambda/results/lambda=1.0/sqa/LLaMA-3-3B/npo_KL_sentencize_s=True_lr=3e-05_lambda=1.0_rs=1001_pos=True_ff2=True.out
