group,dataset,model,method,lr,filename,n_instances,n_agree_instances,n_step_results,n_agree_step_results,ff_hard,faithfulness_author_all,faithfulness_paper_agree,ff_soft,specificity,efficacy,efficacy_normalizer,ff_hard_all,ff_soft_all,specificity_agree,efficacy_agree,efficacy_post,efficacy_agree_post,efficacy_including_baseline,efficacy_agree_including_baseline,ff_hard_flipped_instances,ff_hard_denominator,ff_hard_all_flipped_instances,ff_hard_all_denominator,faithfulness_author_flipped_instances,faithfulness_author_denominator,faithfulness_paper_flipped_instances,faithfulness_paper_denominator,ff_soft_n,ff_soft_all_n,specificity_n,specificity_agree_n,efficacy_n,efficacy_agree_n,answer_change_rate_agreeing,agreeing_step_rows,agreeing_changed_instances,path
,openbook,LLaMA-3-3B,lmf_KL,1.5e-05,lmf_KL_sentencize_s=True_lr=1.5e-05_rs=1001_pos=True_ff2=True.out,30,23,152,118,13.043478260869565,26.666666666666668,13.043478260869565,0.06863316302987893,97.1907894736842,6.463947121175043,text_estimate_cpt=3.5,26.666666666666668,0.053846444336850485,97.26271186440678,6.71801710516025,6.463947121175043,6.71801710516025,5.386622600979203,5.598347587633541,3,23,8,30,8,30,3,23,118,152,152,118,152,118,13.043478260869565,118,3,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\ablation\openbook\LLaMA-3-3B\lmf_KL_sentencize_s=True_lr=1.5e-05_rs=1001_pos=True_ff2=True.out
,openbook,LLaMA-3-3B,lmf_KL,2.5e-05,lmf_KL_sentencize_s=True_lr=2.5e-05_rs=1001_pos=True_ff2=True.out,30,23,152,118,52.17391304347826,60.0,52.17391304347826,0.24925642170449583,92.98684210526316,21.22928642566566,text_estimate_cpt=3.5,60.0,0.20410933631659897,93.2542372881356,21.79888185751199,21.22928642566566,21.79888185751199,17.69107202138805,18.165734881259993,12,23,18,30,18,30,12,23,118,152,152,118,152,118,52.17391304347826,118,12,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\ablation\openbook\LLaMA-3-3B\lmf_KL_sentencize_s=True_lr=2.5e-05_rs=1001_pos=True_ff2=True.out
,openbook,LLaMA-3-3B,lmf_KL,2e-05,lmf_KL_sentencize_s=True_lr=2e-05_rs=1001_pos=True_ff2=True.out,30,23,152,118,34.78260869565217,46.666666666666664,34.78260869565217,0.18725460047448952,94.33552631578948,15.848996969337088,text_estimate_cpt=3.5,46.666666666666664,0.15309956962798857,94.5,16.326008917058413,15.848996969337088,16.326008917058413,13.207497474447575,13.605007430882011,8,23,14,30,14,30,8,23,118,152,152,118,152,118,34.78260869565217,118,8,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\ablation\openbook\LLaMA-3-3B\lmf_KL_sentencize_s=True_lr=2e-05_rs=1001_pos=True_ff2=True.out
,openbook,Phi-3,lmf_KL,3.5e-05,lmf_KL_sentencize_s=True_lr=3.5e-05_rs=1001_pos=True_ff2=True.out,30,28,124,115,21.428571428571427,26.666666666666668,21.428571428571427,0.09673961984814893,100.0,9.759432482316603,tokenizer,26.666666666666668,0.10191694925075127,100.0,9.720235944103337,9.759432482316603,9.720235944103337,8.132860401930502,8.100196620086113,6,28,8,30,8,30,6,28,115,124,124,115,124,115,21.428571428571427,115,6,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\ablation\openbook\Phi-3\lmf_KL_sentencize_s=True_lr=3.5e-05_rs=1001_pos=True_ff2=True.out
,openbook,Phi-3,lmf_KL,4.5e-05,lmf_KL_sentencize_s=True_lr=4.5e-05_rs=1001_pos=True_ff2=True.out,30,28,124,115,25.0,30.0,25.0,0.13110439871055363,100.0,13.86474620782624,tokenizer,30.0,0.13425181596120553,100.0,13.766958223464556,13.86474620782624,13.766958223464556,11.553955173188532,11.472465186220463,7,28,9,30,9,30,7,28,115,124,124,115,124,115,25.0,115,7,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\ablation\openbook\Phi-3\lmf_KL_sentencize_s=True_lr=4.5e-05_rs=1001_pos=True_ff2=True.out
,openbook,Phi-3,lmf_KL,4e-05,lmf_KL_sentencize_s=True_lr=4e-05_rs=1001_pos=True_ff2=True.out,30,28,124,115,21.428571428571427,26.666666666666668,21.428571428571427,0.11404952968107646,100.0,11.677874583307222,tokenizer,26.666666666666668,0.11815816364972474,100.0,11.610285480761323,11.677874583307222,11.610285480761323,9.731562152756018,9.675237900634437,6,28,8,30,8,30,6,28,115,124,124,115,124,115,21.428571428571427,115,6,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\ablation\openbook\Phi-3\lmf_KL_sentencize_s=True_lr=4e-05_rs=1001_pos=True_ff2=True.out
,sqa,LLaMA-3-3B,lmf_KL,1.5e-05,lmf_KL_sentencize_s=True_lr=1.5e-05_rs=1001_pos=True_ff2=True.out,30,22,163,114,40.909090909090914,40.0,40.909090909090914,0.0690884189462217,99.82208588957056,5.35880018976271,text_estimate_cpt=3.5,40.0,0.04458781675556972,99.74561403508773,5.6283734116047786,5.35880018976271,5.6283734116047786,4.465666824802258,4.690311176337315,9,22,12,30,12,30,9,22,114,163,163,114,163,114,40.909090909090914,114,9,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\ablation\sqa\LLaMA-3-3B\lmf_KL_sentencize_s=True_lr=1.5e-05_rs=1001_pos=True_ff2=True.out
,sqa,LLaMA-3-3B,lmf_KL,2.5e-05,lmf_KL_sentencize_s=True_lr=2.5e-05_rs=1001_pos=True_ff2=True.out,30,22,163,114,54.54545454545454,56.666666666666664,54.54545454545454,0.1604623142749099,98.79141104294479,19.660278289718597,text_estimate_cpt=3.5,56.666666666666664,0.11715535392909343,98.49122807017544,20.318051163794767,19.660278289718597,20.318051163794767,16.383565241432166,16.931709303162304,12,22,17,30,17,30,12,22,114,163,163,114,163,114,54.54545454545454,114,12,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\ablation\sqa\LLaMA-3-3B\lmf_KL_sentencize_s=True_lr=2.5e-05_rs=1001_pos=True_ff2=True.out
,sqa,LLaMA-3-3B,lmf_KL,2e-05,lmf_KL_sentencize_s=True_lr=2e-05_rs=1001_pos=True_ff2=True.out,30,22,163,114,45.45454545454545,46.666666666666664,45.45454545454545,0.1357911630731416,99.4478527607362,14.07440261438595,text_estimate_cpt=3.5,46.666666666666664,0.0970372601855241,99.25438596491227,14.70264808470914,14.07440261438595,14.70264808470914,11.728668845321627,12.252206737257616,10,22,14,30,14,30,10,22,114,163,163,114,163,114,45.45454545454545,114,10,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\ablation\sqa\LLaMA-3-3B\lmf_KL_sentencize_s=True_lr=2e-05_rs=1001_pos=True_ff2=True.out
,sqa,Phi-3,lmf_KL,6e-05,lmf_KL_sentencize_s=True_lr=6e-05_rs=1001_pos=True_ff2=True.out,30,24,137,101,41.66666666666667,36.666666666666664,41.66666666666667,0.12716727764882035,96.2992700729927,23.06685811638325,tokenizer,36.666666666666664,0.09311394946979214,96.22772277227723,25.002594039148835,23.06685811638325,25.002594039148835,19.22238176365271,20.835495032624028,10,24,11,30,11,30,10,24,101,137,137,101,137,101,41.66666666666667,101,10,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\ablation\sqa\Phi-3\lmf_KL_sentencize_s=True_lr=6e-05_rs=1001_pos=True_ff2=True.out
