group,dataset,model,method,lr,filename,n_instances,n_agree_instances,n_step_results,n_agree_step_results,ff_hard,faithfulness_author_all,faithfulness_paper_agree,ff_soft,specificity,efficacy,efficacy_normalizer,ff_hard_all,ff_soft_all,specificity_agree,efficacy_agree,efficacy_post,efficacy_agree_post,efficacy_including_baseline,efficacy_agree_including_baseline,ff_hard_flipped_instances,ff_hard_denominator,ff_hard_all_flipped_instances,ff_hard_all_denominator,faithfulness_author_flipped_instances,faithfulness_author_denominator,faithfulness_paper_flipped_instances,faithfulness_paper_denominator,ff_soft_n,ff_soft_all_n,specificity_n,specificity_agree_n,efficacy_n,efficacy_agree_n,answer_change_rate_agreeing,agreeing_step_rows,agreeing_changed_instances,path
,openbook,LLaMA-3-3B,lmf_KL,0.0001,lmf_KL_sentencize_s=True_lr=0.0001_rs=1001_pos=True_ff2=True.out,30,27,179,149,100.0,100.0,100.0,0.5978053386362154,56.46927374301676,87.1337626297708,text_estimate_cpt=3.5,100.0,0.5282150136126047,55.79194630872483,88.34357046714435,87.1337626297708,88.34357046714435,72.61146885814233,73.61964205595362,27,27,30,30,30,30,27,27,149,179,179,149,179,149,100.0,149,27,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\primal_ablation\openbook\LLaMA-3-3B\lmf_KL_sentencize_s=True_lr=0.0001_rs=1001_pos=True_ff2=True.out
,openbook,LLaMA-3-3B,lmf_KL,1e-05,lmf_KL_sentencize_s=True_lr=1e-05_rs=1001_pos=True_ff2=True.out,30,27,177,147,14.814814814814813,16.666666666666664,14.814814814814813,0.05362038739617878,98.67231638418079,3.3469391317205344,text_estimate_cpt=3.5,16.666666666666664,0.04898226191698893,98.60544217687075,3.5675942854610962,3.3469391317205344,3.5675942854610962,2.789115943100445,2.9729952378842466,4,27,5,30,5,30,4,27,147,177,177,147,177,147,14.814814814814813,147,4,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\primal_ablation\openbook\LLaMA-3-3B\lmf_KL_sentencize_s=True_lr=1e-05_rs=1001_pos=True_ff2=True.out
,openbook,LLaMA-3-3B,lmf_KL,3e-05,lmf_KL_sentencize_s=True_lr=3e-05_rs=1001_pos=True_ff2=True.out,30,27,177,147,66.66666666666666,66.66666666666666,66.66666666666666,0.2725286424130053,92.34463276836158,23.510512493813817,text_estimate_cpt=3.5,66.66666666666666,0.2430798114695321,92.21088435374149,25.21729153503771,23.510512493813817,25.21729153503771,19.59209374484485,21.014409612531427,18,27,20,30,20,30,18,27,147,177,177,147,177,147,66.66666666666666,147,18,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\primal_ablation\openbook\LLaMA-3-3B\lmf_KL_sentencize_s=True_lr=3e-05_rs=1001_pos=True_ff2=True.out
,openbook,LLaMA-3-3B,lmf_KL,3e-06,lmf_KL_sentencize_s=True_lr=3e-06_rs=1001_pos=True_ff2=True.out,30,27,177,147,7.4074074074074066,10.0,7.4074074074074066,0.0038496775934817574,99.69491525423729,0.26556192155162167,text_estimate_cpt=3.5,10.0,0.00272520421166151,99.65986394557824,0.28351392015519383,0.26556192155162167,0.28351392015519383,0.22130160129301804,0.2362616001293282,2,27,3,30,3,30,2,27,147,177,177,147,177,147,7.4074074074074066,147,2,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\primal_ablation\openbook\LLaMA-3-3B\lmf_KL_sentencize_s=True_lr=3e-06_rs=1001_pos=True_ff2=True.out
,openbook,LLaMA-3-3B,lmf_KL,5e-05,lmf_KL_sentencize_s=True_lr=5e-05_rs=1001_pos=True_ff2=True.out,30,27,177,147,88.88888888888889,86.66666666666667,88.88888888888889,0.5029389988467268,75.73446327683615,55.05328679688643,text_estimate_cpt=3.5,86.66666666666667,0.44390146565515776,74.82993197278911,57.96935718291348,55.05328679688643,57.96935718291348,45.877738997405366,48.3077976524279,24,27,26,30,26,30,24,27,147,177,177,147,177,147,88.88888888888889,147,24,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\primal_ablation\openbook\LLaMA-3-3B\lmf_KL_sentencize_s=True_lr=5e-05_rs=1001_pos=True_ff2=True.out
,openbook,LLaMA-3-3B,lmf_KL,5e-06,lmf_KL_sentencize_s=True_lr=5e-06_rs=1001_pos=True_ff2=True.out,30,27,177,147,7.4074074074074066,10.0,7.4074074074074066,0.015040601403957916,99.65536723163842,0.8992479189185841,text_estimate_cpt=3.5,10.0,0.013064084003060219,99.63945578231292,0.9540382416455979,0.8992479189185841,0.9540382416455979,0.7493732657654868,0.7950318680379983,2,27,3,30,3,30,2,27,147,177,177,147,177,147,7.4074074074074066,147,2,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\primal_ablation\openbook\LLaMA-3-3B\lmf_KL_sentencize_s=True_lr=5e-06_rs=1001_pos=True_ff2=True.out
,openbook,Phi-3,lmf_KL,0.0001,lmf_KL_sentencize_s=True_lr=0.0001_rs=1001_pos=True_ff2=True.out,30,27,132,117,62.96296296296296,63.33333333333333,62.96296296296296,0.3473137594467616,89.70454545454545,53.78301038897077,tokenizer,63.33333333333333,0.34538075593190726,89.76068376068376,53.8418880234526,53.78301038897077,53.8418880234526,44.819175324142314,44.86824001954383,17,27,19,30,19,30,17,27,117,132,132,117,132,117,62.96296296296296,117,17,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\primal_ablation\openbook\Phi-3\lmf_KL_sentencize_s=True_lr=0.0001_rs=1001_pos=True_ff2=True.out
,openbook,Phi-3,lmf_KL,0.0003,lmf_KL_sentencize_s=True_lr=0.0003_rs=1001_pos=True_ff2=True.out,30,27,132,117,100.0,100.0,100.0,0.6602441209728181,70.35606060606061,95.25114150415409,tokenizer,100.0,0.6407367573444005,69.76068376068376,95.27989890376465,95.25114150415409,95.27989890376465,79.37595125346175,79.39991575313721,27,27,30,30,30,30,27,27,117,132,132,117,132,117,100.0,117,27,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\primal_ablation\openbook\Phi-3\lmf_KL_sentencize_s=True_lr=0.0003_rs=1001_pos=True_ff2=True.out
,openbook,Phi-3,lmf_KL,0.0005,lmf_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=True.out,30,27,132,117,100.0,100.0,100.0,0.6902022601527846,49.53787878787879,99.00931322625969,tokenizer,100.0,0.6694992735613534,49.76068376068376,99.01004281161457,99.00931322625969,99.01004281161457,82.50776102188308,82.50836900967879,27,27,30,30,30,30,27,27,117,132,132,117,132,117,100.0,117,27,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\primal_ablation\openbook\Phi-3\lmf_KL_sentencize_s=True_lr=0.0005_rs=1001_pos=True_ff2=True.out
,openbook,Phi-3,lmf_KL,1e-05,lmf_KL_sentencize_s=True_lr=1e-05_rs=1001_pos=True_ff2=True.out,30,27,132,117,0.0,0.0,0.0,0.005179744435990542,99.99242424242425,0.038723794077889236,tokenizer,0.0,0.0046085116381487596,100.0,0.030916693107143053,0.038723794077889236,0.030916693107143053,0.03226982839824103,0.02576391092261921,0,27,0,30,0,30,0,27,117,132,132,117,132,117,0.0,117,0,D:\DSstudy\26Spring\NLPLLMs\project\parametric-faithfulness\lmf\primal_ablation\openbook\Phi-3\lmf_KL_sentencize_s=True_lr=1e-05_rs=1001_pos=True_ff2=True.out
