dataset,model,epoch,n_records,delta_proxy_mean,npo_grad_factor_proxy_mean,npo_saturated_proxy_rate
openbook,LLaMA-3-3B,0,1308,0.0,1.0,0.0
openbook,LLaMA-3-3B,1,1308,32.4108371559633,0.16448601518231867,0.3876146788990826
openbook,LLaMA-3-3B,2,1308,60.645833333333336,0.05053956173697342,0.8394495412844036
openbook,LLaMA-3-3B,3,1308,68.84594801223241,0.03819765791314873,0.8891437308868502
openbook,LLaMA-3-3B,4,1308,71.45279051987768,0.03492145388736864,0.9036697247706422
openbook,LLaMA-3-3B,5,1308,72.02704510703364,0.03430073215479584,0.9067278287461774
openbook,Phi-3,0,959,0.0,1.0,0.0
openbook,Phi-3,1,959,0.5553656966892596,0.9722552850765417,0.0
openbook,Phi-3,2,959,0.6750338080031283,0.9662886709871633,0.0
openbook,Phi-3,3,959,0.7307864637643379,0.9635117047476871,0.0
openbook,Phi-3,4,959,0.7506272810218978,0.9625235888110076,0.0
openbook,Phi-3,5,959,0.751384906152242,0.9624856007642526,0.0
sqa,LLaMA-3-3B,0,1228,0.0,1.0,0.0
sqa,LLaMA-3-3B,1,1228,0.2827291581840391,0.9858657806687283,0.0
sqa,LLaMA-3-3B,2,1228,0.5125171773208469,0.9743861807926292,0.0
sqa,LLaMA-3-3B,3,1228,0.5764486207247557,0.9711943276378744,0.0
sqa,LLaMA-3-3B,4,1228,0.596183453786645,0.9702092884451627,0.0
sqa,LLaMA-3-3B,5,1228,0.6002026287662866,0.9700086754220745,0.0
sqa,Phi-3,0,999,0.0,1.0,0.0
sqa,Phi-3,1,999,18.310435435435437,0.35844974524243906,0.06006006006006006
sqa,Phi-3,2,999,23.491616616616618,0.26911742003378203,0.14314314314314314
sqa,Phi-3,3,999,26.62987987987988,0.22888751234168353,0.21421421421421422
sqa,Phi-3,4,999,27.56443943943944,0.21780904989449942,0.23123123123123124
sqa,Phi-3,5,999,27.66041041041041,0.21723166281143116,0.23023023023023023
