dataset,model,method,word_type,lr,seed,ff_hard(%),ff_soft,specificity(%),efficacy(%)
openbook,LLaMA-3-3B,npo_KL,action,3e-05,1001,44.12,0.2657,93.07,73.65
openbook,LLaMA-3-3B,npo_KL,all_content,3e-05,1001,69.41,0.1619,95.26,36.26
openbook,LLaMA-3-3B,npo_KL,attribute,3e-05,1001,36.14,0.2178,93.50,71.76
openbook,LLaMA-3-3B,npo_KL,entity,3e-05,1001,36.47,0.2074,93.60,75.73
openbook,LLaMA-3-3B,npo_KL,function,3e-05,1001,30.00,0.1441,93.06,71.11
openbook,LLaMA-3-3B,npo_KL,modifier,3e-05,1001,26.24,0.1588,94.32,57.37
openbook,LLaMA-3-3B,npo_KL,random,3e-05,1001,40.59,0.2495,92.89,81.93
sqa,LLaMA-3-3B,npo_KL,all_content,3e-05,1001,66.08,0.1226,96.57,37.56
sqa,LLaMA-3-3B,npo_KL,entity,3e-05,1001,28.65,0.1404,87.22,73.29
sqa,LLaMA-3-3B,npo_KL,action,3e-05,1001,28.65,0.1222,88.14,70.07
sqa,LLaMA-3-3B,npo_KL,attribute,3e-05,1001,30.95,0.1523,88.86,70.10
sqa,LLaMA-3-3B,npo_KL,function,3e-05,1001,22.22,0.0758,87.58,72.26
sqa,LLaMA-3-3B,npo_KL,modifier,3e-05,1001,28.28,0.1320,91.98,57.38
sqa,LLaMA-3-3B,npo_KL,random,3e-05,1001,39.77,0.2266,84.95,80.57
